Region,Market,Raw Material,Images,Quoted Value,Purchased Value,Quoted Date,Purchased Date,Purchased_Date,Country Image
Brazil,Central Market,Wheat,https://sc02.alicdn.com/kf/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav/858026944/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav.jpg,560,620,12/1/2018,12/1/2018,12/1/2018,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=2
Brazil,Central Market,Wheat,https://sc02.alicdn.com/kf/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav/858026944/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav.jpg,660,610,10/1/2018,10/1/2018,10/1/2018,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=2
Brazil,Central Market,Wheat,https://sc02.alicdn.com/kf/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav/858026944/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav.jpg,660,540,8/1/2018,8/1/2018,8/1/2018,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=2
Brazil,Central Market,Wheat,https://sc02.alicdn.com/kf/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav/858026944/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav.jpg,350,530,6/1/2018,6/1/2018,6/1/2018,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=2
Brazil,Central Market,Wheat,https://sc02.alicdn.com/kf/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav/858026944/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav.jpg,560,750,4/1/2018,4/1/2018,4/1/2018,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=2
Brazil,Central Market,Egg,https://th.bing.com/th/id/OIP.QmZi4NF0oneSBemVOlJD6QHaFj?w=212&h=180&c=7&o=5&dpr=1.5&pid=1.7,200,300,12/1/2020,12/1/2020,12/1/2020,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=3
Brazil,Central Market,Egg,https://th.bing.com/th/id/OIP.QmZi4NF0oneSBemVOlJD6QHaFj?w=212&h=180&c=7&o=5&dpr=1.5&pid=1.7,400,340,11/1/2020,10/1/2020,10/1/2020,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=4
Brazil,Central Market,Egg,https://th.bing.com/th/id/OIP.QmZi4NF0oneSBemVOlJD6QHaFj?w=212&h=180&c=7&o=5&dpr=1.5&pid=1.7,350,280,8/1/2020,8/1/2020,8/1/2020,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=5
Brazil,Central Market,Egg,https://th.bing.com/th/id/OIP.QmZi4NF0oneSBemVOlJD6QHaFj?w=212&h=180&c=7&o=5&dpr=1.5&pid=1.7,400,278,6/1/2020,6/1/2020,6/1/2020,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=6
Brazil,Central Market,Egg,https://th.bing.com/th/id/OIP.QmZi4NF0oneSBemVOlJD6QHaFj?w=212&h=180&c=7&o=5&dpr=1.5&pid=1.7,400,310,4/1/2020,4/1/2020,4/1/2020,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=7
Brazil,Central Market,Egg,https://th.bing.com/th/id/OIP.QmZi4NF0oneSBemVOlJD6QHaFj?w=212&h=180&c=7&o=5&dpr=1.5&pid=1.7,250,290,2/1/2020,2/1/2020,2/1/2020,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=8
Brazil,Central Market,Egg,https://th.bing.com/th/id/OIP.QmZi4NF0oneSBemVOlJD6QHaFj?w=212&h=180&c=7&o=5&dpr=1.5&pid=1.7,400,290,12/1/2019,12/1/2019,12/1/2019,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=9
Brazil,Central Market,Egg,https://th.bing.com/th/id/OIP.QmZi4NF0oneSBemVOlJD6QHaFj?w=212&h=180&c=7&o=5&dpr=1.5&pid=1.7,267,370,10/1/2019,10/1/2019,10/1/2019,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=10
Brazil,Central Market,Egg,https://th.bing.com/th/id/OIP.QmZi4NF0oneSBemVOlJD6QHaFj?w=212&h=180&c=7&o=5&dpr=1.5&pid=1.7,400,250,8/1/2019,8/1/2019,8/1/2019,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=11
Brazil,Central Market,Egg,https://th.bing.com/th/id/OIP.QmZi4NF0oneSBemVOlJD6QHaFj?w=212&h=180&c=7&o=5&dpr=1.5&pid=1.7,256,201,6/1/2019,6/1/2019,6/1/2019,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=12
Brazil,Central Market,Egg,https://th.bing.com/th/id/OIP.QmZi4NF0oneSBemVOlJD6QHaFj?w=212&h=180&c=7&o=5&dpr=1.5&pid=1.7,400,180,4/1/2019,4/1/2019,4/1/2019,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=13
Brazil,Central Market,Egg,https://th.bing.com/th/id/OIP.QmZi4NF0oneSBemVOlJD6QHaFj?w=212&h=180&c=7&o=5&dpr=1.5&pid=1.7,400,610,2/1/2019,2/1/2019,2/1/2019,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=14
Brazil,Central Market,Egg,https://th.bing.com/th/id/OIP.QmZi4NF0oneSBemVOlJD6QHaFj?w=212&h=180&c=7&o=5&dpr=1.5&pid=1.7,400,615,12/1/2018,12/1/2018,12/1/2018,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=15
Brazil,Central Market,Egg,https://th.bing.com/th/id/OIP.QmZi4NF0oneSBemVOlJD6QHaFj?w=212&h=180&c=7&o=5&dpr=1.5&pid=1.7,378,580,10/1/2018,10/1/2018,10/1/2018,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=16
Brazil,Central Market,Egg,https://th.bing.com/th/id/OIP.QmZi4NF0oneSBemVOlJD6QHaFj?w=212&h=180&c=7&o=5&dpr=1.5&pid=1.7,400,596,8/1/2018,8/1/2018,8/1/2018,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=17
Brazil,Central Market,Egg,https://th.bing.com/th/id/OIP.QmZi4NF0oneSBemVOlJD6QHaFj?w=212&h=180&c=7&o=5&dpr=1.5&pid=1.7,400,610,6/1/2018,6/1/2018,6/1/2018,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=18
Brazil,Central Market,Egg,https://th.bing.com/th/id/OIP.QmZi4NF0oneSBemVOlJD6QHaFj?w=212&h=180&c=7&o=5&dpr=1.5&pid=1.7,143,650,4/1/2018,4/1/2018,4/1/2018,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=19
Brazil,Central Market,Milk,https://th.bing.com/th/id/OIP.UgraYuQTlY_DOnbUvKhYIgHaEK?w=300&h=180&c=7&o=5&dpr=1.5&pid=1.7,1200,680,12/1/2020,12/1/2020,12/1/2020,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=20
Brazil,Central Market,Milk,https://th.bing.com/th/id/OIP.UgraYuQTlY_DOnbUvKhYIgHaEK?w=300&h=180&c=7&o=5&dpr=1.5&pid=1.7,1300,650,10/1/2020,10/1/2020,10/1/2020,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=21
Brazil,Central Market,Milk,https://th.bing.com/th/id/OIP.UgraYuQTlY_DOnbUvKhYIgHaEK?w=300&h=180&c=7&o=5&dpr=1.5&pid=1.7,700,620,8/1/2020,8/1/2020,8/1/2020,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=22
Brazil,Central Market,Milk,https://th.bing.com/th/id/OIP.UgraYuQTlY_DOnbUvKhYIgHaEK?w=300&h=180&c=7&o=5&dpr=1.5&pid=1.7,850,610,6/1/2020,6/1/2020,6/1/2020,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=23
Brazil,Central Market,Milk,https://th.bing.com/th/id/OIP.UgraYuQTlY_DOnbUvKhYIgHaEK?w=300&h=180&c=7&o=5&dpr=1.5&pid=1.7,1300,540,4/1/2020,4/1/2020,4/1/2020,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=24
Brazil,Central Market,Milk,https://th.bing.com/th/id/OIP.UgraYuQTlY_DOnbUvKhYIgHaEK?w=300&h=180&c=7&o=5&dpr=1.5&pid=1.7,560,679,2/1/2020,2/1/2020,2/1/2020,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=25
Brazil,Central Market,Milk,https://th.bing.com/th/id/OIP.UgraYuQTlY_DOnbUvKhYIgHaEK?w=300&h=180&c=7&o=5&dpr=1.5&pid=1.7,503,989,12/1/2019,12/1/2019,12/1/2019,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=26
Brazil,Central Market,Milk,https://th.bing.com/th/id/OIP.UgraYuQTlY_DOnbUvKhYIgHaEK?w=300&h=180&c=7&o=5&dpr=1.5&pid=1.7,1300,543,10/1/2019,10/1/2019,10/1/2019,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=27
Brazil,Central Market,Milk,https://th.bing.com/th/id/OIP.UgraYuQTlY_DOnbUvKhYIgHaEK?w=300&h=180&c=7&o=5&dpr=1.5&pid=1.7,790,890,8/1/2019,8/1/2019,8/1/2019,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=28
Brazil,Central Market,Milk,https://th.bing.com/th/id/OIP.UgraYuQTlY_DOnbUvKhYIgHaEK?w=300&h=180&c=7&o=5&dpr=1.5&pid=1.7,1300,998,6/1/2019,6/1/2019,6/1/2019,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=29
Brazil,Central Market,Milk,https://th.bing.com/th/id/OIP.UgraYuQTlY_DOnbUvKhYIgHaEK?w=300&h=180&c=7&o=5&dpr=1.5&pid=1.7,365,980,4/1/2019,4/1/2019,4/1/2019,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=30
Brazil,Central Market,Milk,https://th.bing.com/th/id/OIP.UgraYuQTlY_DOnbUvKhYIgHaEK?w=300&h=180&c=7&o=5&dpr=1.5&pid=1.7,1300,982,2/1/2019,2/1/2019,2/1/2019,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=31
Brazil,Central Market,Milk,https://th.bing.com/th/id/OIP.UgraYuQTlY_DOnbUvKhYIgHaEK?w=300&h=180&c=7&o=5&dpr=1.5&pid=1.7,1300,541,12/1/2018,12/1/2018,12/1/2018,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=32
Brazil,Central Market,Milk,https://th.bing.com/th/id/OIP.UgraYuQTlY_DOnbUvKhYIgHaEK?w=300&h=180&c=7&o=5&dpr=1.5&pid=1.7,765,989,10/1/2018,10/1/2018,10/1/2018,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=33
Brazil,Central Market,Milk,https://th.bing.com/th/id/OIP.UgraYuQTlY_DOnbUvKhYIgHaEK?w=300&h=180&c=7&o=5&dpr=1.5&pid=1.7,1300,642,8/1/2018,8/1/2018,8/1/2018,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=34
Brazil,Central Market,Milk,https://th.bing.com/th/id/OIP.UgraYuQTlY_DOnbUvKhYIgHaEK?w=300&h=180&c=7&o=5&dpr=1.5&pid=1.7,987,989,6/1/2018,6/1/2018,6/1/2018,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=35
Brazil,Central Market,Milk,https://th.bing.com/th/id/OIP.UgraYuQTlY_DOnbUvKhYIgHaEK?w=300&h=180&c=7&o=5&dpr=1.5&pid=1.7,1300,776,4/1/2018,4/1/2018,4/1/2018,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=36
Brazil,Modelo Market,Wheat,https://sc02.alicdn.com/kf/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav/858026944/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav.jpg,650,650,12/1/2020,12/1/2020,12/1/2020,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=37
Brazil,Modelo Market,Wheat,https://sc02.alicdn.com/kf/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav/858026944/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav.jpg,580,520,11/1/2020,10/1/2020,10/1/2020,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=38
Brazil,Modelo Market,Wheat,https://sc02.alicdn.com/kf/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav/858026944/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav.jpg,600,620,8/1/2020,8/1/2020,8/1/2020,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=39
Brazil,Modelo Market,Wheat,https://sc02.alicdn.com/kf/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav/858026944/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav.jpg,660,670,6/1/2020,6/1/2020,6/1/2020,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=40
Brazil,Modelo Market,Wheat,https://sc02.alicdn.com/kf/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav/858026944/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav.jpg,700,610,4/1/2020,4/1/2020,4/1/2020,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=41
Brazil,Modelo Market,Wheat,https://sc02.alicdn.com/kf/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav/858026944/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav.jpg,560,615,2/1/2020,2/1/2020,2/1/2020,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=42
Brazil,Modelo Market,Wheat,https://sc02.alicdn.com/kf/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav/858026944/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav.jpg,800,580,12/1/2019,12/1/2019,12/1/2019,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=43
Brazil,Modelo Market,Wheat,https://sc02.alicdn.com/kf/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav/858026944/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav.jpg,450,450,10/1/2019,10/1/2019,10/1/2019,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=44
Brazil,Modelo Market,Wheat,https://sc02.alicdn.com/kf/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav/858026944/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav.jpg,550,610,8/1/2019,8/1/2019,8/1/2019,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=45
Brazil,Modelo Market,Wheat,https://sc02.alicdn.com/kf/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav/858026944/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav.jpg,800,700,6/1/2019,6/1/2019,6/1/2019,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=46
Brazil,Modelo Market,Wheat,https://sc02.alicdn.com/kf/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav/858026944/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav.jpg,780,680,4/1/2019,4/1/2019,4/1/2019,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=47
Brazil,Modelo Market,Wheat,https://sc02.alicdn.com/kf/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav/858026944/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav.jpg,660,590,2/1/2019,2/1/2019,2/1/2019,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=48
Brazil,Modelo Market,Wheat,https://sc02.alicdn.com/kf/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav/858026944/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav.jpg,560,620,12/1/2018,12/1/2018,12/1/2018,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=49
Brazil,Modelo Market,Wheat,https://sc02.alicdn.com/kf/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav/858026944/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav.jpg,672,610,10/1/2018,10/1/2018,10/1/2018,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=50
Brazil,Modelo Market,Wheat,https://sc02.alicdn.com/kf/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav/858026944/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav.jpg,660,700,8/1/2018,8/1/2018,8/1/2018,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=51
Brazil,Modelo Market,Wheat,https://sc02.alicdn.com/kf/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav/858026944/UTB8ZLUxjU_4iuJk43Fqq6z.FpXav.jpg,450,530,6/1/2018,6/1/2018,6/1/2018,https://www.bing.com/th?id=OIP.RmnJ9aBjiHgXV1KjPkijdAAAAA&w=112&h=93&c=8&rs=1&qlt=90&dpr=1.5&pid=3.1&rm=52
